Front (Question),Back (Answer)
What is the formula for Page Fault Rate Calculation?,$PFR = \frac{\text{Total Page Faults}}{\text{Total Memory References}}$. A strict mathematical ratio defining the catastrophic failure rate of the system's current page replacement algorithm architecture.
What is the formula for Banker's Need Matrix?,"$Need[i, j] = Max[i, j] - Allocation[i, j]$. Mathematically calculates the absolute remaining physical resources a process strictly requires to guarantee successful termination."
What is the formula for Disk Access Time?,"$DAT = \text{Seek Time} + \text{Rotational Latency} + \text{Transfer Time}$. The fundamental mathematical equation defining absolute hardware delay. Seek time (arm movement) dominates the equation, which is strictly why SCAN and C-LOOK algorithms are architecturally mandatory."
What is the formula for Maximum Transmission Unit (MTU)?,$Payload_{max} = MTU - \text{Header Size}$. Dictates the strict maximum payload bytes a Layer 2 frame can encapsulate.
What is the formula for Total Network Delay?,"$D_{total} = D_{proc} + D_{queue} + D_{trans} + D_{prop}$. The absolute sum of nodal processing, router queuing, physical transmission, and cable propagation delays."
What is the formula for Subnet Capacity?,$\text{Total IPs} = 2^H$. Where $H$ is the number of strict host bits.
What is the formula for Usable Hosts per Subnet?,$\text{Usable Hosts} = 2^H - 2$. Two addresses are strictly reserved: the lowest (Network ID) and the highest (Broadcast ID).
What is the formula for TCP Throughput bound?,$Throughput \le \frac{W \times MSS}{RTT}$. Where $W$ is the congestion window size.
What is the formula for TCP Sequence Number Calculation?,$Seq_{next} = Seq_{current} + \text{Payload Bytes}$. A strict mathematical offset used to perfectly reassemble fragmented segments.
What is the formula for Transmission Delay?,$T_t = \frac{L}{B}$. The mathematical time required to push all bits of a frame onto the physical wire.
What is the formula for Propagation Delay?,$T_p = \frac{d}{v}$. The strict physics of the electrical signal traversing distance $d$ at propagation speed $v$.
What is the formula for RSA Encryption?,$C = M^e \pmod n$. Mathematical transformation of Plaintext $M$ into Ciphertext $C$.
What is the formula for RSA Decryption?,$M = C^d \pmod n$. Mathematical recovery of Plaintext $M$ using the strict private exponent $d$.
What is the formula for Bellman-Ford Relaxation (RIP)?,"$D_x(y) = \min_v \{c(x,v) + D_v(y)\}$. The absolute minimum distance from node $x$ to $y$ is strictly calculated by evaluating the cost to an immediate neighbor $v$ plus the neighbor's known path to $y$."
What is the formula for Nyquist Bit Rate (Noiseless)?,"$BitRate = 2B \log_2(L)$. The theoretical maximum data rate for a completely frictionless, noiseless channel of bandwidth $B$."
What is the formula for Shannon Capacity (Noisy)?,$C = B \log_2(1 + S/N)$. The absolute mathematical limit of data transmission over a physical channel affected by Signal-to-Noise thermal interference.
What is the formula for A\* Evaluation Function?,"$f(n) = g(n) + h(n)$. The core equation driving informed search. $g(n)$ is the exact known cost from root to node $n$, while $h(n)$ is the estimated heuristic cost from $n$ to the goal."
What is the formula for Modus Ponens?,$(P \implies Q) \land P \implies Q$. The foundational mathematical rule of deductive inference.
What is the formula for Resolution Principle?,$(P \lor Q) \land (\neg Q \lor R) \implies (P \lor R)$. Used by automated theorem provers to cancel complementary literals.
What is the formula for Sigmoid Activation?,"$\sigma(z) = \frac{1}{1 + e^{-z}}$. Mathematical function mapping any real value $z$ perfectly into the range $(0, 1)$, widely used in binary classification."
What is the formula for Bellman Equation (Q-Learning)?,"$Q^{new}(s,a) = Q(s,a) + \alpha [R(s,a) + \gamma \max Q(s', a') - Q(s,a)]$. The recursive mathematical update rule balancing immediate reward $R$ with discounted future utility."
What is the formula for Fuzzy Cartesian Product?,"$\mu_{A \times B}(x, y) = \min(\mu_A(x), \mu_B(y))$. Mathematical construction of a multi-dimensional fuzzy space."
What is the formula for Relational Division ($\div$)?,"$R \div S = \{t \mid \forall s \in S, \exists r \in R \text{ such that } r[S] = s \text{ and } r[R-S] = t\}$. Mathematically isolates tuples in $R$ that are flawlessly paired with every single tuple in $S$."
What is the formula for Attribute Closure ($X^+$)?,$X^+ = X \cup \{Y \mid X \to Y \text{ is inferable from } F\}$. The absolute mathematical boundary of all attributes functionally determined by $X$ under the strict rules of Armstrong's Axioms.
What is the formula for Armstrong's Transitivity?,"$If\ X \to Y \text{ and } Y \to Z, \text{ then } X \to Z$. The mathematical backbone used to rigorously derive implied functional dependencies."
What is the formula for Lossless Join Decomposition?,"$R_1 \bowtie R_2 = R$. A strict mathematical guarantee. Furthermore, either $(R_1 \cap R_2) \to R_1$ or $(R_1 \cap R_2) \to R_2$ must absolutely hold true for the decomposition to be perfectly lossless."
What is the formula for B+ Tree Order Calculation ($m$)?,"$m \times P + (m-1) \times (K + D) \le B_{size}$. Where $P$ is block pointer size, $K$ is key size, $D$ is data pointer size, and $B_{size}$ is the strict physical disk block size. Mathematically guarantees the node fits perfectly into one physical disk I/O sector."
What is the formula for CYK Algorithm Complexity?,$O(n^3 \cdot |G|)$. The mathematical time complexity required to definitively parse a string of length $n$ against a grammar $G$ in strict CNF.
What is the formula for Liveness Analysis?,$In[n] = Use[n] \cup (Out[n] - Def[n])$. A strict data-flow equation mathematically calculating which variable registers are currently holding active values vs dead data.
What is the formula for Logical Implication?,$P \to Q \equiv \neg P \lor Q$. A strict mathematical equivalence used to eliminate implication arrows in formal proofs.
What is the formula for Quantifier Negation?,"$\neg(\forall x P(x)) \equiv \exists x \neg P(x)$. Pushing negation mathematically flips universal quantifiers to existential, and vice versa."
What is the formula for Boolean Algebra Distributivity?,$a \lor (b \land c) = (a \lor b) \land (a \lor c)$. Essential property for digital circuit simplification.
What is the formula for Handshaking Lemma?,$\sum \text{deg}(v) = 2|E|$. The absolute sum of all vertex degrees must perfectly equal twice the total number of edges.
What is the formula for Planar Graph Edge Bound?,"$E \le 3V - 6$. For any simple connected planar graph with $V \ge 3$, violating this bound mathematically proves the graph is non-planar (must intersect)."
What is the formula for Inclusion-Exclusion Principle?,$|A \cup B| = |A| + |B| - |A \cap B|$. Strict arithmetic used to calculate union sizes without physically double-counting intersections.
What is the formula for Binomial Distribution?,$P(X=k) = \binom{n}{k} p^k (1-p)^{n-k}$. Calculates exact probability of $k$ successes in $n$ independent boolean trials.
What is the formula for Traffic Intensity ($\rho$)?,$\rho = \frac{\lambda}{\mu}$. The core mathematical ratio of arrival rate $\lambda$ to service rate $\mu$. The system strictly collapses into infinite backlog if $\rho \ge 1$.
What is the formula for Shannon's Expansion Theorem?,"$F(x_1, \dots, x_n) = x_1 \cdot F(1, \dots, x_n) + \neg x_1 \cdot F(0, \dots, x_n)$. The mathematical foundation for implementing massive boolean functions using multiplexers."
What is the formula for Maximum Clock Frequency (Synchronous)?,$f_{max} = \frac{1}{t_{pd} + t_{setup}}$. The absolute mathematical speed limit of a synchronous circuit bounded by flip-flop propagation delay and setup time requirements.
What is the formula for Effective Memory Access Time (EMAT)?,"$EMAT = H_c \times T_c + (1 - H_c) \times (T_c + T_m)$. The core statistical average of memory access duration utilizing Cache Hit Ratio ($H_c$), Cache Time ($T_c$), and Main Memory Time ($T_m$)."
What is the formula for CPU Execution Time?,"$T = IC \times CPI \times \tau$. The absolute time required to execute a program, calculated via Instruction Count ($IC$), Cycles Per Instruction ($CPI$), and strict Clock Cycle Time ($\tau$)."
What is the formula for Pipeline Speedup ($S$)?,"$S = \frac{n \times k}{k + n - 1}$. The theoretical mathematical acceleration of a $k$-stage pipeline executing $n$ instructions, which asymptotically approaches $k$ as $n \to \infty$."
What is the formula for Amdahl's Law?,"$S_{max} = \frac{1}{(1-P) + \frac{P}{N}}$. The rigid mathematical ceiling on speedup using $N$ parallel processors, severely bottlenecked by the strict sequential fraction $(1-P)$."
What is the formula for Total Disk Access Time?,"$T_{access} = T_{seek} + T_{rotational} + T_{transfer}$. The physical mathematical delay summing the read-head arm movement, the platter rotation to the sector, and the sheer magnetic data transfer."
What is the formula for RAID 5 Capacity?,"$C_{usable} = (N - 1) \times S_{min}$. The strict usable disk space spanning $N$ drives, sacrificing exactly one drive's capacity mathematically for distributed XOR parity."
What is the formula for Recursive Time Complexity Master Theorem?,$T(n) = aT(n/b) + f(n)$. The core recurrence relation mathematically evaluating the exact time complexity of tree-based recursive divide-and-conquer algorithms.
What is the formula for Object Size Calculation?,"$\text{sizeof(Object)} = \sum \text{sizeof(attributes)} + \text{Padding}$. Physically calculates RAM footprint, strictly ignoring standard methods but including the hidden `vptr` if virtual functions are present."
What is the formula for Dynamic V-Table Binding?,$\text{Method Address} = \text{VTable Base Address} + (\text{Method Index} \times \text{Pointer Size})$. The exact physical memory jump executed by the CPU at runtime to achieve late binding polymorphism.
What is the formula for Template Expansion Complexity?,"$S_{binary} \approx S_{base} \times N_{types}$. A rough mathematical estimate of compiler code bloat, where the binary size scales strictly with the total number of unique data types invoked through the generic template."
What is the formula for Frame Buffer Size?,$\text{Size (Bits)} = \text{Resolution}_x \times \text{Resolution}_y \times \text{Color Depth (Bits per Pixel)}$. The absolute hardware VRAM footprint physically required to render a single static frame.
What is the formula for Bresenham's Initial Decision Parameter?,$P_0 = 2\Delta y - \Delta x$. The core mathematical seed used to recursively evaluate integer proximity to the true geometric line without relying on costly floating-point divisions.
What is the formula for 2D Rotation Matrix?,$\begin{bmatrix} \cos \theta & -\sin \theta \\ \sin \theta & \cos \theta \end{bmatrix}$. The strict trigonometric linear algebra transformation rotating points mathematically counter-clockwise strictly around the absolute origin.
What is the formula for Parametric Line Intersection?,$x = x_1 + t(x_2 - x_1)$ and $y = y_1 + t(y_2 - y_1)$ for $0 \le t \le 1$. The strict mathematical equations used by clipping algorithms to calculate the exact physical pixel where an off-screen line visibly breaches the window boundary.
What is the formula for Perspective Projection Transformation?,$x_p = \frac{x \cdot d}{z}$ and $y_p = \frac{y \cdot d}{z}$. The profound physical transformation physically dividing Euclidean coordinates by depth ($z$) to mathematically simulate the violent optical convergence of the human eye.
What is the formula for AVL Balance Factor?,"$BF = H_{left} - H_{right}$. A strict mathematical constraint ensuring the tree's height remains absolutely balanced. A node is deemed stable if and only if $BF \in \{-1, 0, 1\}$. Any deviation triggers an immediate structural rotation."
A B-tree of order 4 is mathematically constructed from scratch by exactly 10 successive independent key insertions. What is the absolute maximum possible height of the resulting B-tree? (Assume the root strictly resides at height 0).,*Explanation*: The maximum theoretical height is exactly 3.
What is the formula for Quadratic Probing Sequence?,"$H(k, i) = (h(k) + c_1 i + c_2 i^2) \pmod m$. Mathematically defines the exact index trajectory during a collision, where $i$ is the attempt number. It systematically bypasses primary clustering by mathematically ensuring the step size increases quadratically."
"A hash table contains exactly 10 physical buckets (indices 0 to 9) and utilizes strict Linear Probing. The keys `43, 36, 92, 87, 11, 4, 71, 13, 14` are sequentially inserted. The hash function is strictly $h(x) = x \pmod{10}$. What is the exact final memory index location of the key `14`?",*Explanation*: The key `14` is permanently located at exact Index 9.
What is the formula for *Case 1*?,$f(n)$ polynomially lighter → recursive leaves dominate → $T(n) = \Theta(n^{\log_b a})$
What is the formula for *Case 2*?,$f(n)$ and critical value match → cost uniformly distributed → $T(n) = \Theta(n^{\log_b a} \log n)$
What is the formula for *Case 3*?,$f(n)$ polynomially heavier → root dominates → $T(n) = \Theta(f(n))$
What is the formula for The Master Theorem?,"$T(n) = aT\left(\frac{n}{b}\right) + f(n)$. Mathematically dictates the exact upper and lower bound runtime of any divide-and-conquer recursion, evaluating the strict tension between the recursive branching cost $a$ and the merge cost $f(n)$."
"Utilizing the Master Theorem, strictly solve the exact recurrence relation: $T(n) = 8T(n/2) + n^2$.",*Explanation*: The tight asymptotic time complexity is exactly $T(n) = \Theta(n^3)$.
What is the formula for Edge Relaxation?,"$If\ d[u] + w(u,v) < d[v] \implies d[v] = d[u] + w(u,v)$. The absolute mathematical core of all shortest-path algorithms. It continually tests if a newly discovered route via node $u$ is strictly cheaper than the currently known path to $v$."
"A graph has vertices $A, B, C, D$ and weighted edges $A \to B=1, A \to C=4, B \to C=2, B \to D=6, C \to D=3$. Apply Dijkstra's rigorous algorithm strictly from source $A$. What is the absolute shortest path cost to $D$?",*Explanation*: The absolute shortest mathematical path cost to $D$ is exactly 6 (following the strict sequence $A \to B \to C \to D$).
What is the formula for Circular Queue Element Count?,"$Count = (rear - front + N) \pmod N$. A strict mathematical operation that calculates the exact physical number of data elements present in the queue, seamlessly wrapping around the array boundary."
A circular queue has a physical array size of exactly 5 (indices 0 to 4). The internal queue variables are actively set to `front = 3` and `rear = 1` (where rear strictly points to the next available physical insertion slot). Exactly how many elements are physically present in the queue?,*Explanation*: There are exactly 3 data elements physically residing in the queue.
What is the formula for 0/1 Knapsack DP State?,"$K[i, w] = \max(K[i-1, w],\ K[i-1, w-w_i] + v_i)$. Mathematically evaluates the absolute optimal value state. It forces a strict choice: either entirely exclude the $i^{th}$ item, or physically include it (adding its value $v_i$ and subtracting its weight $w_i$), capturing the maximum possible optimization."
"Why does the classical 0/1 Knapsack problem physically necessitate a massive Dynamic Programming state matrix, whereas the Fractional Knapsack problem can be optimally solved using a blindingly fast, simple Greedy algorithm?","*Explanation*: The 0/1 restriction mathematically forces combinatorial gaps in the capacity that simple Greedy logic cannot foresee, explicitly requiring DP's exhaustive state-matrix evaluation to guarantee the optimal physical layout."
What is the formula for Turnaround Time?,$TAT = \text{Completion Time} - \text{Arrival Time}$. The absolute total physical time a process spends within the system from inception to termination.
What is the formula for Waiting Time?,$WT = TAT - \text{Burst Time}$. The strict mathematical sum of all physical time periods a process spends trapped in the Ready Queue.
What is the formula for Exponential Smoothing (SJF)?,$\tau_{n+1} = \alpha t_n + (1-\alpha)\tau_n$. The exact mathematical algorithm the OS utilizes to predict the physical length of the next CPU burst based on historical execution data.
"Four processes arrive strictly at $T=0$ with the following CPU burst times (in ms): $P_1 = 8, P_2 = 4, P_3 = 9, P_4 = 5$. If the non-preemptive Shortest Job First (SJF) scheduling algorithm is utilized, what is the exact average waiting time?",*Explanation*: The average mathematical waiting time is exactly 7.5 ms.
What is the formula for Effective Memory Access Time (EMAT)?,"$EMAT = p \times (\text{Page Fault Service Time}) + (1-p) \times (\text{Memory Access Time})$. Mathematically bounds the strict average physical time to access data, driven primarily by the page fault probability rate $p$."
What is the formula for TLB Access Time?,"$EMAT_{TLB} = h \times (c + m) + (1-h) \times (c + 2m)$. Where $h$ is the hit ratio, $c$ is TLB cache lookup time, and $m$ is main memory access time."
A 32-bit architectural system operates with a strict page size of exactly 4 KB ($2^{12}$ bytes). A single Page Table Entry (PTE) requires exactly 4 bytes of physical RAM. What is the absolute total size of the Page Table required for a single process?,*Explanation*: The physical size of the page table is exactly 4 MB.
What is the formula for Page Fault Rate Calculation?,$PFR = \frac{\text{Total Page Faults}}{\text{Total Memory References}}$. A strict mathematical ratio defining the catastrophic failure rate of the system's current page replacement algorithm architecture.
"Given a strict memory reference string: `1, 2, 3, 4, 1, 2, 5, 1, 2, 3, 4, 5` and exactly 3 physical page frames (initially completely empty). Exactly how many page faults mathematically occur using the basic FIFO replacement algorithm?",*Explanation*: There are exactly 10 Page Faults.
What is the formula for Banker's Need Matrix?,"$Need[i, j] = Max[i, j] - Allocation[i, j]$. Mathematically calculates the absolute remaining physical resources a process strictly requires to guarantee successful termination."
What is the formula for Pass 2?,"$P_1$'s Need $(3,2,1)$ is $\le$ the new Available $(6,3,5)$. $P_1$ executes and releases its Allocation $(2,1,1)$. New Available = $(6,3,5) + (2,1,1) = (8,4,6)$."
What is the formula for Pass 3?,"$P_3$'s Need $(7,2,2)$ is $\le$ the final Available $(8,4,6)$. $P_3$ successfully executes."
"A system mathematically manages 3 processes ($P_1, P_2, P_3$) and 3 resource types ($A, B, C$) with total absolute instances $(10, 5, 7)$. The current `Allocation` matrix is strictly $P_1(2,1,1), P_2(3,1,1), P_3(2,1,1)$ and the `Max` requirement matrix is $P_1(5,3,2), P_2(4,2,2), P_3(9,3,3)$. Is the architectural system currently in a safe state, and what is the exact available resource vector?","*Explanation*: Yes, it is perfectly safe with an initial Available vector of $(3, 2, 4)$ and a strict safe sequence of $\langle P_2, P_1, P_3 \rangle$."
What is the formula for Disk Access Time?,"$DAT = \text{Seek Time} + \text{Rotational Latency} + \text{Transfer Time}$. The fundamental mathematical equation defining absolute hardware delay. Seek time (arm movement) dominates the equation, which is strictly why SCAN and C-LOOK algorithms are architecturally mandatory."
"A mechanical disk contains exactly 200 physical cylinders (0 to 199). The head is currently positioned at cylinder 50 and is physically moving towards higher cylinder numbers. The exact queue of requests is: `82, 170, 43, 140, 24, 16, 190`. Using the strict SCAN algorithm, what is the absolute total head movement mathematically calculated in cylinders?",*Explanation*: The total head movement is exactly 332 physical cylinders.
What is the formula for Maximum Transmission Unit (MTU)?,$Payload_{max} = MTU - \text{Header Size}$. Dictates the strict maximum payload bytes a Layer 2 frame can encapsulate.
What is the formula for Total Network Delay?,"$D_{total} = D_{proc} + D_{queue} + D_{trans} + D_{prop}$. The absolute sum of nodal processing, router queuing, physical transmission, and cable propagation delays."
"During data transmission, at exactly which OSI layer is a physical IP address translated into a hardware MAC address, and what protocol mathematically executes this translation?","*Explanation*: The translation occurs between the Network Layer and the Data Link Layer, explicitly executed by the Address Resolution Protocol (ARP)."
What is the formula for Subnet Capacity?,$\text{Total IPs} = 2^H$. Where $H$ is the number of strict host bits.
What is the formula for Usable Hosts per Subnet?,$\text{Usable Hosts} = 2^H - 2$. Two addresses are strictly reserved: the lowest (Network ID) and the highest (Broadcast ID).
An organization is assigned the exact CIDR block `192.168.144.0/20`. The network administrator mathematically subnets this massive block into 8 equal-sized smaller subnets. What is the exact valid IP address range (from Network ID to Broadcast ID) of the 3rd newly created subnet?,*Explanation*: The exact range for the 3rd subnet is strictly `192.168.148.0` to `192.168.149.255`.
What is the formula for TCP Throughput bound?,$Throughput \le \frac{W \times MSS}{RTT}$. Where $W$ is the congestion window size.
What is the formula for TCP Sequence Number Calculation?,$Seq_{next} = Seq_{current} + \text{Payload Bytes}$. A strict mathematical offset used to perfectly reassemble fragmented segments.
"A TCP connection is actively transmitting data and the current Congestion Threshold is strictly set to 16 KB. The connection suffers a catastrophic Timeout event when its Congestion Window mathematically reaches exactly 24 KB. Assuming a Maximum Segment Size (MSS) of exactly 2 KB, what will be the exact size of the Congestion Window after 3 successful, completely error-free Round Trip Times (RTTs)?",*Explanation*: The exact size of the TCP Congestion Window after 3 RTTs is strictly 16 KB.
What is the formula for Transmission Delay?,$T_t = \frac{L}{B}$. The mathematical time required to push all bits of a frame onto the physical wire.
What is the formula for Propagation Delay?,$T_p = \frac{d}{v}$. The strict physics of the electrical signal traversing distance $d$ at propagation speed $v$.
A 10 Mbps standard baseband Ethernet LAN strictly has a physical wire length of exactly 2.5 kilometers. The absolute propagation speed of the electrical signal through the copper wire is $2 \times 10^8$ meters/second. What is the absolute minimum valid Frame Size required to mathematically guarantee collision detection?,*Explanation*: The absolute minimum required frame size is exactly 250 bits.
What is the formula for RSA Encryption?,$C = M^e \pmod n$. Mathematical transformation of Plaintext $M$ into Ciphertext $C$.
What is the formula for RSA Decryption?,$M = C^d \pmod n$. Mathematical recovery of Plaintext $M$ using the strict private exponent $d$.
"In a strictly isolated RSA cryptographic setup, the two chosen prime numbers are explicitly $p = 5$ and $q = 11$. The public encryption key is selected as $e = 7$. What is the exact mathematical value of the Private Key $d$?",*Explanation*: The mathematically exact Private Key $d$ is 23.
What is the formula for Bellman-Ford Relaxation (RIP)?,"$D_x(y) = \min_v \{c(x,v) + D_v(y)\}$. The absolute minimum distance from node $x$ to $y$ is strictly calculated by evaluating the cost to an immediate neighbor $v$ plus the neighbor's known path to $y$."
"In RIP architecture, explain the exact mathematical mechanism that causes the ""count-to-infinity"" problem, and detail how ""Split Horizon with Poison Reverse"" explicitly solves it.",*Explanation*: The loop is caused by outdated metric updates bouncing endlessly between neighbors. Poison Reverse solves it by advertising the failed route back to the source with an explicitly infinite metric.
"In an IoT architecture deployed over an extremely unstable, low-bandwidth orbital satellite connection, why would an architect mathematically prefer MQTT over traditional HTTP for sending sensor telemetry?","*Explanation*: MQTT possesses a vastly smaller binary header footprint (strictly 2 bytes) and uses an efficient publish-subscribe event-driven model, making it mathematically ideal for low-bandwidth networks compared to HTTP's polling overhead."
What is the formula for *Formula*?,"$\text{Bit Rate} = \text{Baud Rate} \times \log_2(L)$, where $L$ = number of distinct signal levels"
What is the formula for Nyquist Bit Rate (Noiseless)?,"$BitRate = 2B \log_2(L)$. The theoretical maximum data rate for a completely frictionless, noiseless channel of bandwidth $B$."
What is the formula for Shannon Capacity (Noisy)?,$C = B \log_2(1 + S/N)$. The absolute mathematical limit of data transmission over a physical channel affected by Signal-to-Noise thermal interference.
"A high-speed network cable physically transmits an analog signal using an advanced encoding scheme that utilizes exactly 16 distinct voltage levels. If the physically measured baud rate of the transmission is exactly 2000 baud, what is the mathematically exact bit rate?",*Explanation*: The calculated bit rate is strictly exactly 8000 bps.
What is the formula for A\* Evaluation Function?,"$f(n) = g(n) + h(n)$. The core equation driving informed search. $g(n)$ is the exact known cost from root to node $n$, while $h(n)$ is the estimated heuristic cost from $n$ to the goal."
"Under what specific mathematical condition does an A* search algorithm guarantee an optimal solution when utilizing a tree-search structure, and how does this differ when utilizing a graph-search structure?","*Explanation*: For tree-search, $h(n)$ must be strictly admissible. For graph-search, $h(n)$ must be strictly consistent (which inherently implies admissibility)."
"In a standard Minimax tree, a MIN node has three children with terminal utility values 4, 8, and $x$. An ancestor MAX node currently has an established $\alpha$ value of 5. Detail the step-by-step logic of under what condition the branch leading to $x$ will be pruned via Alpha-Beta pruning, and explain why the actual value of $x$ is mathematically irrelevant.","*Explanation*: The branch is pruned immediately after evaluating the first child (4) because the updated $\beta$ (4) becomes less than or equal to the ancestor's $\alpha$ (5), triggering the $\alpha \ge \beta$ cutoff."
What is the formula for Modus Ponens?,$(P \implies Q) \land P \implies Q$. The foundational mathematical rule of deductive inference.
What is the formula for Resolution Principle?,$(P \lor Q) \land (\neg Q \lor R) \implies (P \lor R)$. Used by automated theorem provers to cancel complementary literals.
"Convert the following complex English sentence into strictly quantified First-Order Logic, ensuring proper scope of quantifiers: ""Every student who takes an AI course passes the final exam.""","*Explanation*: The fully quantified FOL expression is $\forall x \, \big(S(x) \land \exists y \, (C(y) \land T(x, y)) \implies P(x)\big)$."
What is the formula for Sigmoid Activation?,"$\sigma(z) = \frac{1}{1 + e^{-z}}$. Mathematical function mapping any real value $z$ perfectly into the range $(0, 1)$, widely used in binary classification."
What is the formula for Bellman Equation (Q-Learning)?,"$Q^{new}(s,a) = Q(s,a) + \alpha [R(s,a) + \gamma \max Q(s', a') - Q(s,a)]$. The recursive mathematical update rule balancing immediate reward $R$ with discounted future utility."
"A single-layer perceptron has two input features $x_1 = 1.0, x_2 = -1.0$ with initial synapse weights $w_1 = 0.5, w_2 = -0.5$ and a bias weight $b = 0.0$. The learning rate is $\eta = 0.1$. The true target output is $d = 1$, but the current step-function activation outputs a prediction of $y = 0$. Calculate the exact updated value of the weight $w_1$ after one training epoch, detailing the formula used.",*Explanation*: The updated weight $w_1$ is strictly 0.6.
What is the formula for Fuzzy Cartesian Product?,"$\mu_{A \times B}(x, y) = \min(\mu_A(x), \mu_B(y))$. Mathematical construction of a multi-dimensional fuzzy space."
"Given two distinct fuzzy sets $A$ and $B$, an element $x$ has been evaluated to have the following continuous membership values: $\mu_A(x) = 0.7$ and $\mu_B(x) = 0.4$. Calculate the exact membership value of $x$ in both the algebraic product space and the standard fuzzy union space of $A$ and $B$.","*Explanation*: The membership value in the algebraic product is 0.28, and the membership value in the fuzzy union is 0.7."
Design the PEAS specification for an automated AI medical diagnosis system.,"*Explanation*: Performance (Accuracy/Patient Health), Environment (Hospital/Patient), Actuators (Display/Alerts), Sensors (Data feeds/Keyboard)."
"In a highly volatile project where the underlying hardware platform is experimental and prone to failure, which SDLC model is strictly mathematically optimal, and what specific quadrant of that model explicitly handles the volatility?",*Explanation*: The Spiral Model. The Risk Assessment and Resolution quadrant specifically handles this by evaluating prototypes and fallback strategies before development begins.
What is the formula for *Formula*?,$\text{Effort} = a \times (\text{KLOC})^b$
"A critical software module has three estimated times provided by senior engineers: an Optimistic time of 4 days, a Most Likely time of 7 days, and a Pessimistic time of 16 days. Using the standard PERT formula, calculate the expected time ($T_E$) and the statistical variance ($\sigma^2$) of the task to determine its unpredictability.","*Explanation*: The expected statistical time is 8 days, and the variance (representing volatility) is 4."
"If an Authentication Module passes a massive `User` object (containing passwords, addresses, and history) to an Analytics Module, but the Analytics Module only ever reads the `user_id` integer field to execute a query, what specific type of coupling exists, and how must it be optimized?",*Explanation*: It is Stamp Coupling. It must be optimized to Data Coupling by passing only the primitive `user_id` as a parameter.
"A complex mathematical function takes an integer input $X$. If $X > 0$, it enters an `if` block containing a nested `while` loop that iterates based on $X$. If $X \le 0$, it immediately returns an error. When drawn as a control flow graph, it has exactly 7 nodes and 8 edges, existing as 1 single connected component. Calculate the Cyclomatic Complexity and detail its exact practical significance to a QA testing engineer.","*Explanation*: The Cyclomatic Complexity is 3, strictly dictating that a minimum of 3 independent test cases are mathematically required to guarantee complete basis path coverage."
"A major cloud service provider is provisioning a massive new billion-dollar data center intended to physically isolate highly sensitive workloads for government and financial clients. Should they architect the servers using a Type 1 or Type 2 hypervisor, and what is the strict technical and security justification for this choice?","*Explanation*: Type 1 (Bare-Metal) hypervisor. It directly interfaces with the raw hardware, completely eliminating the severe performance overhead and the catastrophic security vulnerabilities inherent to running on top of a host OS."
What is the formula for Relational Division ($\div$)?,"$R \div S = \{t \mid \forall s \in S, \exists r \in R \text{ such that } r[S] = s \text{ and } r[R-S] = t\}$. Mathematically isolates tuples in $R$ that are flawlessly paired with every single tuple in $S$."
